coefficient_name,value,constrain
sr3p_ASC_no_auto_othdiscr,2.0736248524534875,F
sr3p_ASC_no_auto_othmaint,1.2398692958911188,F
sr3p_ASC_no_auto_school,9.508285016034062,F
sr3p_ASC_no_auto_shopping,1.763265215891118,F
sr3p_ASC_no_auto_social,0.39776563245348734,F
sr3p_ASC_no_auto_univ,-0.4504540114529543,F
sr3p_ASC_no_auto_work,-1.2494152147120545,F
sr3p_ASC_no_auto_atwork,-0.6498028773451562,F
sr3p_ASC_auto_deficient_eatout,0.09555616384359204,F
sr3p_ASC_auto_deficient_escort,0.4074936303028109,F
sr3p_ASC_auto_deficient_othdiscr,1.0966004038435933,F
sr3p_ASC_auto_deficient_othmaint,-0.5337112096971887,F
sr3p_ASC_auto_deficient_school,0.4952609648862065,F
sr3p_ASC_auto_deficient_shopping,0.7423111243028113,F
sr3p_ASC_auto_deficient_social,1.550228103843593,F
sr3p_ASC_auto_deficient_univ,0.12546898860942857,F
sr3p_ASC_auto_deficient_work,-0.8424093266113594,F
sr3p_ASC_auto_deficient_atwork,-12.689549479313884,F
sr3p_ASC_auto_sufficient_eatout,0.6107164378449438,F
sr3p_ASC_auto_sufficient_escort,0.019922499068299883,F
sr3p_ASC_auto_sufficient_othdiscr,0.35235888784494346,F
sr3p_ASC_auto_sufficient_othmaint,0.0018363590683002826,F
sr3p_ASC_auto_sufficient_school,-1.2863846996403625,F
sr3p_ASC_auto_sufficient_shopping,-0.00023626593169971764,F
sr3p_ASC_auto_sufficient_social,0.27003569784494336,F
sr3p_ASC_auto_sufficient_univ,-0.929343057836338,F
sr3p_ASC_auto_sufficient_work,-1.4008045664073565,F
sr3p_ASC_auto_sufficient_atwork,-2.1203969434784185,F
walk_transit_ASC_no_auto_eatout,1.3383209558493367,F
walk_transit_ASC_no_auto_escort,-2.5334170100573488,F
walk_transit_ASC_no_auto_othdiscr,0.9884626558493365,F
walk_transit_ASC_no_auto_othmaint,1.425716745942652,F
walk_transit_ASC_no_auto_school,8.148105563432992,F
walk_transit_ASC_no_auto_shopping,1.790538689942652,F
walk_transit_ASC_no_auto_social,0.12614925584933695,F
walk_transit_ASC_no_auto_univ,0.0836161402888587,F
walk_transit_ASC_no_auto_work,3.4601724969543466,F
walk_transit_ASC_no_auto_atwork,-3.326235629493983,F
