"ID","Area","COUNTY","EXTERNAL","DISTRICT","SUPER_DIST_25"
2867,0.206833,8,1,0,
2866,0.499603,8,1,0,
2864,0.596319,8,1,0,
2863,0.609637,8,1,0,
2865,0.289300,8,1,0,
2708,3.369678,8,0,240,14
2785,2.015164,8,0,246,14
2701,0.905903,8,0,239,14
2727,1.379924,8,0,243,14
2730,0.822033,8,0,243,14
2731,0.976824,8,0,243,14
2729,0.769846,8,0,243,14
2716,0.395397,8,0,240,14
2724,2.533061,8,0,243,14
2726,5.013375,8,0,243,14
2722,0.639304,8,0,240,14
2717,0.967547,8,0,240,14
2719,0.374827,8,0,240,14
2718,0.305655,8,0,240,14
2713,0.451509,8,0,240,14
2720,0.525727,8,0,240,14
2715,0.405786,8,0,240,14
2714,1.462304,8,0,240,14
2728,1.187357,8,0,243,14
2734,2.402081,8,0,243,14
2721,0.481321,8,0,240,14
2707,2.776927,8,0,240,14
2768,8.233023,8,0,245,14
2732,2.900506,8,0,243,14
2733,2.652247,8,0,243,14
2709,2.172065,8,0,240,14
2710,1.730425,8,0,240,14
2711,0.999542,8,0,240,14
2772,4.029533,8,0,245,14
2712,5.157687,8,0,240,14
2766,5.252157,8,0,246,14
2769,8.203178,8,0,245,14
2703,2.903216,8,0,240,14
2761,2.240027,8,0,246,14
2762,4.517440,8,0,246,14
2763,7.843342,8,0,246,14
2765,8.798336,8,0,246,14
2764,3.621329,8,0,246,14
2760,4.960684,8,0,246,14
2784,11.166959,8,0,246,14
2781,12.091662,8,0,246,14
2778,3.295753,8,0,246,14
2777,2.027567,8,0,246,14
2779,2.167193,8,0,246,14
2783,2.023600,8,0,246,14
2782,1.942107,8,0,246,14
2774,6.433557,8,0,246,14
2776,6.028531,8,0,246,14
2693,1.490938,8,0,239,14
2706,3.884697,8,0,240,14
2704,6.125425,8,0,240,14
2691,1.557228,8,0,239,14
2705,3.091598,8,0,240,14
2696,2.274838,8,0,239,14
2695,2.949018,8,0,239,14
