"","Detroit","Livingston","Macomb","Monroe","Oakland","St. Clair","Washtenaw","Wayne","Total"
"Detroit",90975.880597,323.8818888,15687.8396879,0,29018.2984442,0,956.7205076,25149.9091628,162112.5302883
"Livingston",464.6627389,27666.0405942,1552.3025675,0,13368.6963372,0,13602.3166664,10123.7242782,66777.7431824
"Macomb",37346.5068543,0,195342.2019078,64.1545924,83793.9367286,4733.5103659,2911.7376394,16946.6491708,341138.6972592
"Monroe",1574.0398814,68.6164844,407.5006842,25521.6948667,1052.4785814,0,4896.3595038,10831.5563329,44352.2463348
"Oakland",34527.7384884,7006.4058845,42825.9122769,100.7198744,308097.2263217,194.7779114,12465.5818545,49164.7009931,454383.0636049
"St. Clair",1248.7856385,130.1850243,14846.4270425,0,2852.2317955,37097.2558864,47.6213992,689.5129034,56912.0196898
"Washtenaw",2549.1338475,2669.0591904,342.9286643,929.8225787,6433.2047936,0,107529.3796398,12343.1637972,132796.6925115
"Wayne",58077.2826547,2873.8322378,12202.7518628,5450.8315448,66925.2660757,0,31704.1112538,230896.8881043,408130.9637339
"Total",226764.0307007,40738.0213044,283207.8646939,32067.223457,511541.3390779,42025.5441637,174113.8284645,356146.1047427,1666603.9566048
