"","PERTYPE","freq"
"1",1,1478229.3842309
"2",2,250119.5126976
"3",3,251911.8547435
"4",4,549662.1064485
"5",5,398398.6506194
"6",6,134528.0779167
"7",7,552936.0645038
"8",8,270645.8585168
