"","work","univ","sch","imain","idisc","jmain","jdisc","atwork"
"1",4427.133856077,1239.5066992,172.2431535,16282.997733274,7795.594978644,151.5406957,151.5406957,973.981519052
"2",6936.340895049,485.669804306,1144.267540792,32580.708965934,10832.889483779,1852.546268756,210.7670932,2377.3060836
"3",495.038574765,1472.691864629,8916.14025392,22534.243024847,14514.606917232,2667.6356719,0,2269.0352529
"4",3085.046448818,4839.779093824,5116.244155488,35883.518775638,24568.070735544,753.113710315,735.350368953,1906.745881607
"5",2997.934099274,1165.531148555,0,1469.162628052,1441.20469618,0,223.4093647,1100.964000404
"6",15446.562212073,5818.0618526,8016.959165312,36766.182265344,8680.061555799,1186.883631153,268.2426809,349.5116378
"7",0,0,0,0,0,0,0,0
"8",2607.923548264,106.2412899,0,1454.757308762,2222.7159612,0,0,0
"9",0,1018.8139781,12345.319749856,0,0,0,0,0
"10",0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0
