"","PERTYPE","freq"
"1",1,1628708.786498
"2",2,294161.0367343
"3",3,311015.9558075
"4",4,765916.6653105
"5",5,534806.2312374
"6",6,145292.4113827
"7",7,590417.6090602
"8",8,365824.1898794
