"comp","partysize","freq"
"All Adult",2,97.517997894404
"All Children",2,93.7648866133662
"Mixed",2,55.5705173758836
"Total",2,81.304290468722
"All Adult",3,2.36944652402458
"All Children",3,6.23511338663383
"Mixed",3,26.6674325468324
"Total",3,11.7864587784785
"All Adult",4,0.025041265816944
"All Children",4,0
"Mixed",4,13.1894973172864
"Total",4,5.09545952678255
"All Adult",5,0.0875143157545023
"All Children",5,0
"Mixed",5,4.57255275999752
"Total",5,1.81379122601697
