"","work","univ","sch","imain","idisc","jmain","jdisc","atwork"
"1",843489.694110028,65120.04392961,27042.241324864,579836.529638696,407205.047193788,0,0,122295.017003467
"2",270969.486223544,38161.385870457,112714.825883052,360253.950436766,188247.339781227,91192.454731093,76278.340594044,34109.078231706
"3",91282.794605832,24678.553444154,199891.009367572,261397.899985684,113508.154467255,18006.822827806,31295.486461418,19828.192160354
"4",11093.6425135,15393.569335316,18327.842347132,34891.094170892,78409.473102127,2706.110584491,10385.1697818,23764.23939514
"5",12584.723875946,4724.312823149,3941.785754872,10705.319533402,19014.980679822,55.80182244,1127.701326415,240.54541492
"6",11461.173172495,7319.424529509,1646.665979264,5920.670300526,3118.747161575,197.6917032,155.628016839,1795.343684868
"7",3599.300138208,454.3754077,0,0,64.42591,0,0,0
"8",550.89911952,0,327.4838338,1322.29674024,0,0,0,0
"9",674.384471205,3704.369817708,159561.639714496,3567.608818708,3518.092354428,0,769.882998884,359.920610805
"10",0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0
