"District","Workers","WFH"
"Detroit",264630.5405117,16155.4930948
"Livingston",99548.5386748,5945.1047635
"Macomb",446163.116679,17962.6169232
"Monroe",76392.6215711,3892.3442528
"Oakland",648460.0062442,42187.3495502
"St. Clair",79599.3975987,3301.5648681
"Washtenaw",199053.9941438,13341.1191934
"Wayne",565329.9749992,28766.1630387
"Total",2379178.1904225,131551.7556847
