"id","purpose","freq_dep","freq_arr","freq_dur"
1,"atwork",0,0,42793.55633791
1,"esc",36.892601655,0,81690.074103217
1,"idisc",149.587078095,0,25645.439818266
1,"imain",173.1717063,0,43072.934017746
1,"jdisc",0,0,2559.349337601
1,"jmain",0,0,1751.615365968
1,"sch",0,0,184.4270744
1,"Total",2790.707088074,0,203005.541521816
1,"univ",0,0,5237.068478608
1,"work",2431.055702024,0,71.0769881
2,"atwork",0,0,81956.244310935
2,"esc",59.005050825,0,234080.90337189
2,"idisc",0,0,72265.768779166
2,"imain",0,0,162607.617142677
2,"jdisc",0,0,11810.00824287
2,"jmain",0,0,22101.73710622
2,"sch",0,0,1485.667103972
2,"Total",4097.038932598,0,594257.211414044
2,"univ",139.831384935,0,6491.412264368
2,"work",3898.202496838,0,1457.853091946
3,"atwork",0,0,57056.350989568
3,"esc",691.239171874,59.005050825,108645.11544941
3,"idisc",854.746885911,0,80078.264721681
3,"imain",457.425753205,142.9342832,179575.570455
3,"jdisc",0,0,20986.097959761
3,"jmain",0,0,22067.537476966
3,"sch",86.2536482,0,1892.519068548
3,"Total",12717.294106504,201.939334025,481930.604722535
3,"univ",41.635068009,0,7036.800250766
3,"work",10585.993579305,0,4592.348350835
4,"atwork",0,0,27170.282430901
4,"esc",291.428028037,0,47143.76585814
4,"idisc",1085.413146552,0,106247.220542152
4,"imain",1098.806811313,98.3372584,148266.912346585
4,"jdisc",161.8333301,0,27347.779693192
4,"jmain",0,0,27070.613634357
4,"sch",0,0,7124.80841428
4,"Total",16484.7940361,98.3372584,404229.711311342
4,"univ",196.2154683,0,7556.038239245
4,"work",13651.097251798,0,6302.29015249
5,"atwork",20.46123471,20.46123471,14267.980039449
5,"esc",1265.313210196,238.5534824,27540.514090404
5,"idisc",5828.17548514,186.181796738,125259.747533828
5,"imain",1998.088119862,0,104331.623945144
5,"jdisc",1193.654264943,0,23800.524360707
5,"jmain",203.5561257,0,16082.48569582
5,"sch",0,0,6184.0051221
5,"Total",59126.634792549,445.196513848,330367.782337144
5,"univ",1205.2693911,0,5985.013207888
5,"work",47412.116960898,0,6915.888341804
6,"atwork",0,0,4415.577937319
6,"esc",3237.810694145,748.295418941,13190.477322948
6,"idisc",5334.656644995,629.784133047,109987.823205092
6,"imain",3935.119275828,256.166520868,87711.771268787
6,"jdisc",125.555959095,0,14539.261296094
6,"jmain",126.451141982,0,11240.523182788
6,"sch",1874.6960448,0,5105.892206052
6,"Total",91400.585382454,1634.246072856,271324.671270266
6,"univ",1600.391654585,0,16183.062534623
