"purpose","avgDist"
"work",4.4541565786899
"univ",4.87931459587171
"sch",4.6138956828136
"esco",3.6509893714452
"imain",3.45180350812885
"idisc",3.91505024062143
"jmain",3.29883717321133
"jdisc",3.03515941483766
"atwork",2.49202163044938
"total",3.54137449513675
