"distbin","PURPOSE","freq"
1,"jmain",5767.341556395
10,"jmain",3896.764626829
11,"jmain",1701.404223349
12,"jmain",89.029428096
13,"jmain",394.780914757
14,"jmain",567.181404076
15,"jmain",1334.950076631
16,"jmain",622.300832131
17,"jmain",1394.049327271
18,"jmain",257.714854319
19,"jmain",377.083140488
2,"jmain",55566.385825505
20,"jmain",119.839998262
21,"jmain",38.560398743
22,"jmain",48.351365699
23,"jmain",145.122533183
24,"jmain",285.49404605
25,"jmain",43.5200216
26,"jmain",139.761290395
27,"jmain",0
28,"jmain",37.280941583
29,"jmain",244.810648031
3,"jmain",27030.7006761344
30,"jmain",0
31,"jmain",0
32,"jmain",161.55260793
33,"jmain",79.686157518
34,"jmain",175.923701517
35,"jmain",0
36,"jmain",38.579488994
37,"jmain",0
38,"jmain",0
39,"jmain",839.667633048
4,"jmain",12651.446414488
40,"jmain",0
41,"jmain",30.78801138
42,"jmain",709.2547538
5,"jmain",7595.47604874274
6,"jmain",7693.119758736
7,"jmain",4488.21705800942
8,"jmain",2992.51820435142
9,"jmain",1501.294555246
1,"jdisc",3949.654502652
10,"jdisc",388.381585707
11,"jdisc",566.724799379
12,"jdisc",204.143547336
13,"jdisc",396.577214064
14,"jdisc",443.428470095
15,"jdisc",107.126829915
16,"jdisc",375.101952895
17,"jdisc",319.565267264
18,"jdisc",157.406688213
19,"jdisc",290.09730968
2,"jdisc",26586.4879633261
20,"jdisc",445.3715693
21,"jdisc",0
22,"jdisc",0
23,"jdisc",71.459516664
24,"jdisc",51.8158451
25,"jdisc",29.500685192
26,"jdisc",0
27,"jdisc",0
28,"jdisc",0
29,"jdisc",0
3,"jdisc",11671.2787819051
30,"jdisc",0
31,"jdisc",19.12160229
32,"jdisc",101.08320537
33,"jdisc",0
34,"jdisc",0
35,"jdisc",0
36,"jdisc",27.151692464
37,"jdisc",0
38,"jdisc",181.2363127
39,"jdisc",0
4,"jdisc",6798.874032662
40,"jdisc",0
41,"jdisc",0
42,"jdisc",233.5980443
5,"jdisc",2673.85284071
6,"jdisc",5108.8300339081
7,"jdisc",1981.024460506
8,"jdisc",1390.5324684751
9,"jdisc",731.434164068
1,"atwork",1382.816025803
10,"atwork",1034.73914156
11,"atwork",267.512424165
12,"atwork",0
13,"atwork",153.404180685
14,"atwork",157.50057543312
15,"atwork",0
16,"atwork",523.995323371
17,"atwork",0
18,"atwork",73.87144527
19,"atwork",0
2,"atwork",24741.525809936
20,"atwork",0
21,"atwork",0
22,"atwork",0
23,"atwork",146.10549597
24,"atwork",0
25,"atwork",0
26,"atwork",0
27,"atwork",0
28,"atwork",0
29,"atwork",0
3,"atwork",18409.9551230342
30,"atwork",0
31,"atwork",0
32,"atwork",0
33,"atwork",0
34,"atwork",91.233801435
35,"atwork",0
36,"atwork",0
37,"atwork",0
38,"atwork",0
39,"atwork",0
4,"atwork",7620.0837851032
40,"atwork",0
41,"atwork",0
42,"atwork",28.9829716
5,"atwork",3344.41135879312
6,"atwork",2648.77679477
7,"atwork",2362.54094512772
8,"atwork",2526.3377970662
9,"atwork",1443.6148164
1,"Total",229483.45071765
10,"Total",87644.0052032046
11,"Total",66386.2587088203
12,"Total",43678.5365493318
13,"Total",37615.966356603
14,"Total",31851.9434149512
15,"Total",25158.0070622903
16,"Total",33589.9602407667
17,"Total",25328.1974361522
18,"Total",16830.3686111304
19,"Total",14657.047853275
2,"Total",1535935.55714874
20,"Total",17604.123338436
21,"Total",11127.3790499364
22,"Total",11785.589416621
23,"Total",9583.6989890286
24,"Total",6684.8459997819
25,"Total",6002.526123228
26,"Total",4730.273513833
27,"Total",8983.280872734
28,"Total",5905.398222938
29,"Total",11420.568477582
3,"Total",703050.856641468
30,"Total",5409.8207799745
31,"Total",3051.432306108
32,"Total",5177.259534277
33,"Total",5665.100991684
34,"Total",3712.54800006
35,"Total",2228.09455099
36,"Total",1600.88010772476
37,"Total",1579.794564974
38,"Total",1898.421853678
39,"Total",3879.725569782
4,"Total",417247.027645087
40,"Total",2527.58020582404
41,"Total",896.75976031172
42,"Total",25992.9099645783
5,"Total",282583.952757563
6,"Total",244166.736393944
7,"Total",180686.62201507
8,"Total",136785.987440693
9,"Total",90280.4305595066
