"purpose","avgTourLength"
"esco",5.12066310991243
"imain",6.48448090911269
"idisc",5.67178042087927
"jmain",6.75788871398999
"jdisc",6.76519240437393
"atwork",4.92328987294236
"Total",5.8922178201055
