"","work","univ","sch","esco","imain","idisc","jmain","jdisc","atwork"
"1",838886.902666971,124433.73582758,528983.407217836,395653.307212557,540916.358815141,629894.133305677,63045.693392935,107442.04438842,193925.589328239
"2",358040.659170023,43729.828476491,146382.57052732,87826.633559123,267175.292009067,189260.194298356,41815.706003178,26992.484382881,29863.14884842
"3",158952.681845305,22802.574729022,73209.3999045,47044.254794646,140273.450165492,106289.783553448,21823.296905318,8308.045898478,11537.726388699
"4",101846.187581839,11356.328565789,43962.5086059,32720.23460412,102511.009529936,74371.056672746,9873.720841634,4567.54350846,3034.490530684
"5",24717.705318398,4920.023154304,6705.540253088,8688.267320292,36035.676862928,19291.192874796,2051.187689959,511.152322774,660.177266195
"6",10970.131186616,1575.123996672,1305.8416907,1385.963565979,11227.745720808,12478.127540648,1235.917674574,0,0
"7",874.719530723,598.623486339,676.1784544,956.412480431,7715.297258775,2386.583043522,188.539977804,803.493722399,0
