"","PERTYPE","mtf","freq"
"1",1,1,1139646.8925065
"2",1,2,43372.6378272
"3",1,3,19814.9584256
"4",1,4,1544.0479538
"5",1,5,8065.1647482
"6",2,1,99077.6245124
"7",2,2,1533.8731006
"8",3,1,31005.0999317
"9",3,3,141418.7035422
"10",3,4,9393.8234694
"11",3,5,9916.8115426
"12",6,1,1755.6623208
"13",6,3,113631.8092313
"14",6,4,4125.6438603
"15",6,5,5691.2997985
"16",7,3,506530.1213831
"17",7,4,11414.7518771
"18",8,3,126920.0261491
"19",8,4,2489.7217571
"20",NA,1,62.7090796
"21",NA,3,3688.4794559
