"PERTYPE","tour0","tour1","tour2","tour3pl"
"1",1,1043670.4459668,446040.0536842,112880.9416533,26117.3451937
"2",2,97222.4630151,111877.8807292,56681.0909383,28379.6020517
"3",3,192675.4406177,73012.2691836,31294.9421005,14033.3039057
"4",4,216254.558862,301003.7300771,168537.1471887,80121.2291827
"5",5,136407.580618,238955.7423193,115961.0673542,43481.8409459
"6",6,99090.685186,36924.3051272,8035.1815923,1242.2394772
"7",7,418470.4546361,160986.6534775,10373.2929251,587.2080215
"8",8,195427.1673589,118726.4562881,39788.5234296,11882.0428028
