"","indi","joint"
"1",1479016.73370729,10771.830923835
"2",194272.678760142,10277.801836693
"3",739719.528360448,22073.401890232
"4",550929.940180133,5891.304760006
"5",517273.212462012,79344.346446814
"6",588581.617900135,60689.716038588
"7",169918.303302339,47038.298636951
"8",221619.06918211,26030.787916309
"9",642433.698804744,75555.677670152
