"distbin","PURPOSE","freq"
4,"atwork",25581.337325938
40,"atwork",0
41,"atwork",1042.265355516
5,"atwork",11130.304985315
6,"atwork",11658.108987995
7,"atwork",6297.762093378
8,"atwork",8229.022193992
9,"atwork",5104.392790785
1,"Total",511281.270719508
10,"Total",78412.963209906
11,"Total",57322.985210972
12,"Total",53151.975512014
13,"Total",50451.405254686
14,"Total",52218.943659588
15,"Total",30614.196691926
16,"Total",30848.317522852
17,"Total",23041.470487719
18,"Total",23570.923691113
19,"Total",28794.6086577
2,"Total",490538.054233655
20,"Total",15104.641994431
21,"Total",16762.690578677
22,"Total",12637.25683157
23,"Total",13223.410293953
24,"Total",7440.872839113
25,"Total",10357.739282106
26,"Total",6313.692662011
27,"Total",5225.408170566
28,"Total",7089.709206463
29,"Total",6331.332152989
3,"Total",424894.114534215
30,"Total",7314.691816419
31,"Total",5476.918191023
32,"Total",5928.476963419
33,"Total",2618.202209674
34,"Total",2283.496799127
35,"Total",1806.1753933
36,"Total",2754.294642375
37,"Total",1213.794592852
38,"Total",6273.9622325
39,"Total",1754.798960767
4,"Total",325944.798769677
40,"Total",2129.768775894
41,"Total",26794.753809654
5,"Total",242462.8109686
6,"Total",184941.726391291
7,"Total",150206.656943055
8,"Total",120010.78361757
9,"Total",92036.415479226
