"","work","univ","sch","esco","imain","idisc","jmain","jdisc","atwork"
"1",994674.457333261,154724.221889353,596157.65810234,465209.216130166,728423.76007756,788178.929955136,87659.46398999,120317.670692677,207420.15155447
"2",322819.950415013,34838.980308971,123138.054149544,66160.542571912,226327.337993743,149742.352365659,33425.732704521,21239.882235364,21845.863070192
"3",104066.017310465,13114.610613859,47050.921432772,22170.152284752,86479.162179118,55403.311837481,12474.575822271,5229.712082626,9318.46337046
"4",72728.562241136,6738.425424014,34878.812969088,20735.162550318,64624.570111726,40646.477130917,6474.28996862,1837.499212745,436.654367115
