"","SAMPNO","PERNO","AGE","AAGE","AGE_AAGE","AGE18","SEX","LIC","NOLIC","NOLIC_O","DRIVE","NODRIVE","NODRIVE_O","EMPLY","EMPYTYPE","EMPYTYPE_O","JOBS","EMPLYNOJOB","WKSTAT","WKSTAT_O","WPLACE","WMODE","WMODE_O","INDUS","INDUS_O","DELIV_DRIV","TCOFF","TCDAYS","STUDE","SCHOL","SCHOL_O","SLOC","SWEB","SMODE","SMODE_O","EDUC","EDUC_O","NOGOWHY","NOGOWHY_O","PERTRIPS","PERTYPE","PERRKWT0"
"15837",3124682,2,76,NA,6,NA,1,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,7,5,14.7557181
"15838",3124957,1,66,NA,5,NA,1,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,8,5,42.8023823
"15839",3124957,2,64,NA,4,NA,2,1,NA,NA,1,NA,NA,1,1,NA,1,NA,0,NA,3,4,NA,61,NA,2,2,NA,3,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,6,1,37.9947122
"15840",3124995,1,60,NA,4,NA,2,1,NA,NA,1,NA,NA,1,1,NA,1,NA,0,NA,1,4,NA,52,NA,2,1,2,3,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,4,1,23.907503
"15841",3125036,1,55,NA,4,NA,2,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,8,4,178.7261818
"15842",3125036,2,20,NA,4,NA,1,1,NA,NA,1,NA,NA,-8,1,NA,1,NA,0,NA,1,5,NA,48,NA,2,-8,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,5,-9,289.9136512
"15843",3125036,3,15,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,7,220.9003794
"15844",3125041,1,38,NA,4,NA,1,1,NA,NA,1,NA,NA,1,1,NA,1,NA,0,NA,1,4,NA,31,NA,2,2,NA,3,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,4,1,68.9775085
"15845",3125041,2,37,NA,4,NA,2,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,6,4,81.0476351
"15846",3125041,3,12,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,2,NA,7,NA,1,NA,NA,NA,2,7,74.2640459
"15847",3125041,4,11,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,2,NA,7,NA,1,NA,NA,NA,6,7,76.3500046
"15848",3125118,1,63,NA,4,NA,2,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,5,5,146.6062484
"15849",3125118,2,69,NA,5,NA,1,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,4,5,147.4059855
"15850",3125162,1,63,NA,4,NA,1,1,NA,NA,1,NA,NA,1,2,NA,1,NA,0,NA,3,4,NA,61,NA,2,2,NA,3,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,6,1,51.2997657
"15851",3125162,2,60,NA,4,NA,2,1,NA,NA,1,NA,NA,1,1,NA,1,NA,0,NA,1,4,NA,62,NA,2,2,NA,3,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,2,1,43.801579
"15852",3125191,1,57,NA,4,NA,1,1,NA,NA,1,NA,NA,1,5,NA,1,NA,0,NA,3,4,NA,-7,NA,2,2,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,5,1,73.2171742
"15853",3125247,1,26,NA,4,NA,1,1,NA,NA,1,NA,NA,1,3,NA,1,NA,0,NA,1,4,NA,81,NA,1,2,NA,3,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,8,1,60.5949261
"15854",3125265,1,70,NA,5,NA,2,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,6,5,71.9569924
"15855",3125296,1,76,NA,6,NA,1,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,8,5,79.8157098
"15856",3125332,1,26,NA,4,NA,2,2,4,NA,NA,NA,NA,1,1,NA,1,NA,0,NA,1,5,NA,62,NA,2,2,NA,2,6,NA,NA,2,5,NA,3,NA,NA,NA,2,3,132.8407716
"15857",3125332,2,56,NA,4,NA,2,1,NA,NA,1,NA,NA,1,1,NA,1,NA,0,NA,1,4,NA,62,NA,2,-8,NA,3,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,6,1,111.8816462
"15858",3125332,3,56,NA,4,NA,1,1,NA,NA,1,NA,NA,1,1,NA,1,NA,0,NA,1,4,NA,42,NA,2,2,NA,3,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,4,1,131.0341401
"15859",3125332,4,23,NA,4,NA,2,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,NA,NA,2,4,NA,5,NA,NA,NA,2,3,177.1618232
"15860",3125332,5,14,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,2,NA,5,NA,1,NA,NA,NA,2,7,143.8682545
"15861",3125394,1,72,NA,5,NA,1,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,4,5,50.2473219
"15862",3125419,1,34,NA,4,NA,2,1,NA,NA,1,NA,NA,1,1,NA,1,NA,0,NA,1,4,NA,53,NA,1,2,NA,3,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,5,1,52.0070606
