"OCOUNTY","DCOUNTY","trip_mode","tour_purpose","count"
"Oakland","Livingston","Auto SOV","Visiting",769.211363618
"Livingston","Livingston","Auto 3+ Person","Maintenance",3676.026353193
"Oakland","Livingston","Auto 2 Person","Escort",1237.500102212
"Macomb","Macomb","Auto SOV","Work-based",44450.073398148
"Wayne","Wayne","Auto 2 Person","Visiting",58615.0244435554
"Washtenaw","Washtenaw","PNR-Transit","Work",2198.32561291846
"Detroit","Detroit","Walk-Transit","Eating Out",1668.24094371
"Washtenaw","Washtenaw","Bike/Moped","Visiting",663.8856591
"Washtenaw","Washtenaw","Bike/Moped","Work",14566.3015980436
"St. Clair","Macomb","Auto SOV","Eating Out",779.031486392
"Macomb","Macomb","Auto 3+ Person","Eating Out",25756.020273586
"Macomb","St. Clair","Auto SOV","Eating Out",779.031486392
"St. Clair","St. Clair","Walk","Shop",1138.056143477
"St. Clair","Macomb","Auto 3+ Person","Discretionary",1061.152816294
"Macomb","Macomb","Auto 3+ Person","Discretionary",73957.810515941
"Macomb","St. Clair","Auto 3+ Person","Discretionary",1326.10784282856
"Macomb","Macomb","Auto 3+ Person","School",101399.937215356
"Washtenaw","Oakland","Auto 2 Person","Eating Out",287.683726923
"Oakland","Washtenaw","Auto 2 Person","Eating Out",287.683726923
"Wayne","Wayne","Walk","University",13232.419119448
"Wayne","Wayne","School Bus","University",7762.99730408
"Wayne","Wayne","Auto 2 Person","University",20610.0350862828
"Monroe","Monroe","Auto SOV","Discretionary",19050.794497159
"Livingston","Macomb","Auto SOV","Work",1825.48043175
"Wayne","Detroit","PNR-Transit","Work",1673.7224136331
"Detroit","Wayne","PNR-Transit","Work",2440.0105294291
"Wayne","Wayne","Auto 3+ Person","Visiting",33319.4128328244
"Wayne","Wayne","Auto 3+ Person","Eating Out",28430.588183326
"Monroe","Monroe","Auto SOV","Work-based",5286.363063452
"St. Clair","St. Clair","Auto 3+ Person","Maintenance",5926.496030619
"St. Clair","St. Clair","Auto 3+ Person","Shop",7639.715102242
"Oakland","Macomb","Auto 3+ Person","Escort",1135.684807968
"Macomb","Oakland","Auto 3+ Person","Escort",1842.669553191
"Oakland","Detroit","Auto 2 Person","Work",10280.132355147
"Detroit","Oakland","Auto 2 Person","Work",8662.627416785
"Oakland","Macomb","Auto 3+ Person","School",4979.230824672
"Macomb","Oakland","Auto 3+ Person","School",4005.032254524
"Monroe","Monroe","Auto SOV","Escort",5713.156523777
"Oakland","Detroit","Auto SOV","Visiting",2950.007785766
"Detroit","Oakland","Auto SOV","Visiting",2157.457473159
"St. Clair","Oakland","Auto SOV","Work",2584.573991382
"Wayne","Wayne","Walk","Shop",24760.131391813
"Wayne","Macomb","Auto SOV","Shop",4571.907291332
"Macomb","Oakland","Auto 2 Person","Shop",7264.908713714
"Oakland","Oakland","Walk","Shop",26304.896151369
"Oakland","Macomb","Auto 2 Person","Shop",6017.429251754
"Macomb","Wayne","Auto SOV","Shop",4953.90079295072
"Wayne","Detroit","Auto 3+ Person","School",10027.6616811
"Detroit","Wayne","Auto 3+ Person","School",14499.439255664
"Wayne","Wayne","Bike/Moped","School",10248.6465428
"Monroe","Washtenaw","Auto SOV","Work",4448.73460563716
"Livingston","Wayne","Auto SOV","Escort",539.647913392
"Wayne","Oakland","Auto 2 Person","Escort",7248.448410723
"Detroit","Wayne","Auto 2 Person","Work",14524.2898027556
"Detroit","Wayne","Auto 2 Person","Visiting",3942.8773062
"Wayne","Detroit","Auto 2 Person","Visiting",6253.567317732
"Macomb","Detroit","Auto SOV","Maintenance",2979.4743875975
"Monroe","Wayne","Auto SOV","Escort",613.177762535
"Wayne","Monroe","Auto SOV","Escort",621.421591343
"Detroit","Detroit","PNR-Transit","Work",1025.35482084
"Detroit","Detroit","Walk","University",15181.6348491
"Oakland","Oakland","Auto SOV","School",21663.06060816
"Monroe","Washtenaw","Auto SOV","Maintenance",1390.396499377
"Washtenaw","Monroe","Auto SOV","Maintenance",1112.141059183
"Monroe","Oakland","Auto SOV","Work",966.523090628
"Oakland","Monroe","Auto SOV","Work",1068.655235613
"Livingston","Livingston","Bike/Moped","Work",68.138781
"Monroe","Monroe","Auto 2 Person","Work",12738.389596554
"Wayne","Monroe","Auto 2 Person","Work",3080.804643609
"Monroe","Monroe","Auto SOV","Eating Out",5763.031117764
"Monroe","Monroe","Auto 2 Person","Eating Out",5978.478677099
"Monroe","Monroe","Auto 2 Person","School",8205.007356532
"Oakland","Oakland","Walk","Work",17940.6744310814
"Washtenaw","Washtenaw","Walk-Transit","University",12522.776755206
"Oakland","Oakland","School Bus","School",134166.465803068
"Detroit","Detroit","Auto 2 Person","Discretionary",45485.304586884
"Detroit","Detroit","Auto 3+ Person","Discretionary",50987.944304431
"Monroe","Washtenaw","Auto 3+ Person","Visiting",65.233337692
"Washtenaw","Monroe","Auto 3+ Person","Visiting",65.233337692
"Macomb","Oakland","Auto SOV","School",1675.09179846
"Oakland","Macomb","Auto SOV","School",1675.09179846
"Detroit","Oakland","Auto SOV","Maintenance",14617.720765885
"Oakland","Detroit","Auto 2 Person","Maintenance",6560.323731405
"Detroit","Oakland","Auto 3+ Person","Escort",1831.13889357
"Oakland","Detroit","Auto 3+ Person","Escort",4658.245746236
"Detroit","Detroit","Auto SOV","Escort",37819.103970158
"St. Clair","Macomb","Auto SOV","Work-based",29.761834935
"Detroit","Detroit","Walk-Transit","Shop",12819.890721581
"Oakland","Detroit","Auto SOV","Maintenance",15142.774012049
"Oakland","Oakland","Walk","Maintenance",19447.399330442
"Oakland","Wayne","Auto SOV","Discretionary",10958.4393122472
"Wayne","Oakland","Auto SOV","Discretionary",12704.3930345812
"Washtenaw","Detroit","Auto SOV","Maintenance",650.733102133
"Detroit","Washtenaw","Auto SOV","Maintenance",1623.677746105
"Detroit","Washtenaw","Auto SOV","Discretionary",70.3537574
"Detroit","Detroit","Bike/Moped","Maintenance",6097.288106552
"Detroit","Detroit","Auto 2 Person","Work-based",16469.36445315
"Oakland","Macomb","Auto SOV","Shop",9668.760041104
"Macomb","Oakland","Auto SOV","Shop",8750.376817682
"Wayne","Washtenaw","Auto SOV","Maintenance",5009.74160599276
"Washtenaw","Wayne","Auto SOV","Maintenance",4743.66389333276
"Macomb","Macomb","Auto 3+ Person","Work",29779.2880021364
"Livingston","Wayne","Auto SOV","University",99.9752382
"Wayne","Livingston","Auto SOV","University",99.9752382
"Livingston","Livingston","Auto SOV","University",1390.650890555
"Livingston","Oakland","Auto SOV","Eating Out",2043.261207056
"St. Clair","Macomb","Auto 2 Person","Work",2039.921950366
"Macomb","St. Clair","Auto 2 Person","Work",2837.267100997
"Monroe","Monroe","Auto 2 Person","Discretionary",13906.1913169538
"Detroit","Detroit","Auto 2 Person","Eating Out",13347.494987752
"Monroe","Monroe","Auto 3+ Person","Eating Out",5388.727253762
"Detroit","Wayne","Auto 3+ Person","Visiting",1590.439370739
"Wayne","Detroit","Walk","Visiting",157.4206955
"Wayne","Macomb","Auto SOV","Eating Out",331.200420114
"Macomb","Wayne","Auto SOV","Eating Out",492.306497379
"Livingston","Oakland","Auto SOV","School",526.030707104
"Oakland","Livingston","Auto SOV","School",965.844675936
"Wayne","Wayne","Walk","Maintenance",9940.974291856
"Wayne","Wayne","Walk-Transit","Shop",3018.684162756
"St. Clair","St. Clair","Auto SOV","Eating Out",5085.877180768
"Monroe","Wayne","Auto 2 Person","Maintenance",508.374354257
"Macomb","Wayne","Auto SOV","Discretionary",2965.388628273
"Wayne","Macomb","Auto SOV","Discretionary",2731.950598523
"Monroe","Wayne","Auto 3+ Person","Eating Out",613.083343003
"Wayne","Monroe","Auto 3+ Person","Eating Out",420.777628923
"Livingston","Livingston","Auto 3+ Person","Shop",7255.00438929
"Wayne","Wayne","Auto 3+ Person","Shop",54353.560040751
"Wayne","Wayne","Auto SOV","University",27882.670628748
"Wayne","Wayne","Auto 3+ Person","Work",49600.7699487358
"Wayne","Macomb","School Bus","Discretionary",352.0485124
"Macomb","Wayne","School Bus","Discretionary",352.0485124
"Oakland","Oakland","Walk","University",3314.000216028
"Macomb","Detroit","Auto SOV","Visiting",1186.123319277
"Detroit","Detroit","Walk","Visiting",20690.498146662
"Oakland","Livingston","Auto 2 Person","Eating Out",257.684384713
"Monroe","Monroe","Walk","Eating Out",780.573166252
"Macomb","Wayne","Auto SOV","Maintenance",7808.894715753
"Wayne","Wayne","Bike/Moped","Maintenance",6841.432555499
"Wayne","Wayne","Bike/Moped","Work",4665.817024825
"Detroit","Detroit","Walk-Transit","Escort",7151.214824493
"St. Clair","Macomb","Auto SOV","University",1165.612794213
"Macomb","St. Clair","Auto SOV","University",1191.159765243
"Macomb","St. Clair","School Bus","School",1723.301984096
"Monroe","Monroe","Walk","Discretionary",5071.748766827
"Washtenaw","Washtenaw","Auto 2 Person","Visiting",12027.978431972
"St. Clair","St. Clair","Auto 2 Person","Eating Out",9989.014945476
"Livingston","Wayne","Auto 3+ Person","Escort",1399.2745415
"Wayne","Livingston","Auto 3+ Person","Escort",1388.8405713
"Detroit","Detroit","Walk","Work-based",19898.3345559702
"St. Clair","St. Clair","Walk","School",4397.110990836
"St. Clair","St. Clair","Walk","Escort",5499.946349283
"Livingston","Washtenaw","Auto SOV","Maintenance",1076.746392891
"Washtenaw","Livingston","Auto SOV","Maintenance",996.188840981
"Livingston","Oakland","School Bus","School",392.512230448
"Oakland","Livingston","School Bus","School",477.911162948
"Washtenaw","Oakland","Auto SOV","Discretionary",778.739670697
"Oakland","Washtenaw","Auto SOV","Discretionary",1199.13245368
"Oakland","Oakland","Bike/Moped","Discretionary",18236.295026096
"Livingston","Oakland","Auto 3+ Person","Discretionary",554.78462135
"Oakland","Livingston","Auto 3+ Person","Discretionary",623.75438441336
"Livingston","Oakland","Auto 3+ Person","Escort",1048.0402166
"Oakland","Livingston","Auto 3+ Person","Escort",1208.188145102
"Livingston","Oakland","Auto 3+ Person","School",2470.958178824
"Oakland","Livingston","Auto 3+ Person","School",1506.48226572
"Detroit","Detroit","Auto SOV","Shop",31740.2974140008
"Livingston","Livingston","Walk","Visiting",437.728750916
"Livingston","Livingston","Walk","Escort",2340.58751608
"Detroit","Oakland","Auto SOV","Discretionary",9318.86475367734
"Oakland","Detroit","Auto SOV","Discretionary",8786.99298767734
"Monroe","Washtenaw","Auto 2 Person","Work",1054.12965211
"Detroit","Oakland","Walk-Transit","Maintenance",1849.401927508
"Oakland","Detroit","Walk-Transit","Maintenance",1919.499805608
"Oakland","Oakland","Walk-Transit","Work",6029.694018176
"Oakland","Detroit","KNR-Transit","Work",1177.420062664
"Detroit","Detroit","Auto 3+ Person","Visiting",38334.271926851
"Wayne","Wayne","Auto SOV","School",28443.829583996
"Oakland","Macomb","Auto SOV","Maintenance",13926.1889808457
"Detroit","Detroit","Auto 3+ Person","University",11290.8466947446
"Detroit","Detroit","Auto 2 Person","University",8934.25597847
"Oakland","Oakland","School Bus","Visiting",678.5308562
"Oakland","Oakland","Walk","Visiting",8767.09972197
"Detroit","Wayne","Auto SOV","Eating Out",3066.608044112
"Wayne","Detroit","Auto SOV","Eating Out",3028.414118552
"Detroit","Macomb","Auto 2 Person","Maintenance",3206.284784221
"Macomb","Detroit","Auto 2 Person","Maintenance",4581.607036639
"Wayne","Wayne","Auto 3+ Person","University",16904.007827176
"Wayne","Macomb","Auto 3+ Person","Work",2277.622963614
"Macomb","Wayne","Auto 3+ Person","Work",949.313535422
"Detroit","Wayne","Auto 3+ Person","Escort",7560.920296964
"Wayne","Detroit","Auto 3+ Person","Escort",6308.307738945
"Detroit","Oakland","Walk-Transit","Work",3326.721667031
"Oakland","Detroit","Walk-Transit","Work",1661.725158672
"Wayne","Oakland","Auto 2 Person","Work",20616.007122111
"Oakland","Macomb","Auto SOV","Eating Out",2098.669980164
"Macomb","Oakland","Auto SOV","Eating Out",1446.229879534
"Detroit","Oakland","Auto 2 Person","Maintenance",8056.275888902
"Macomb","Macomb","Walk","Shop",10742.90852885
"Oakland","Detroit","Auto 2 Person","Shop",5036.085051288
"Detroit","Macomb","Auto SOV","University",1684.6438839
"Macomb","Detroit","Auto SOV","University",1394.4121196
"Detroit","Detroit","Auto 3+ Person","Eating Out",5042.2672609
"Macomb","Macomb","Walk","Maintenance",11003.3293505665
"Detroit","Detroit","Auto 3+ Person","Maintenance",46206.3567705071
"Detroit","Detroit","Auto 3+ Person","Work-based",5897.792488951
"Macomb","Macomb","Walk","Work",5107.35137871
"Macomb","Wayne","Auto 2 Person","Maintenance",4812.66857841834
"Wayne","Wayne","Walk","Visiting",14229.850840917
"Macomb","Washtenaw","Auto 2 Person","Work",251.301992655
"Washtenaw","Macomb","Auto 2 Person","Work",251.301992655
"Macomb","Oakland","Auto 3+ Person","Work",913.597894309
"Oakland","Macomb","Auto 3+ Person","Work",1114.363866849
"Oakland","Detroit","Auto 2 Person","Discretionary",5834.73006574016
"St. Clair","St. Clair","Walk-Transit","Shop",846.5419758
"Washtenaw","Washtenaw","Walk-Transit","Work",14599.0907435533
"Washtenaw","Washtenaw","Walk","School",6361.16413584
"Oakland","Oakland","Auto 3+ Person","Shop",34589.1175575864
"St. Clair","Oakland","Auto 2 Person","Visiting",136.002438563
"Oakland","St. Clair","Auto 2 Person","Visiting",136.002438563
"Detroit","Wayne","Walk-Transit","Work",3286.0863029021
"Wayne","Detroit","Walk-Transit","Work",1505.743201473
"Detroit","Oakland","Auto SOV","Shop",6898.07133419
"Oakland","Detroit","Auto SOV","Shop",7124.671950152
"Livingston","Livingston","Auto 2 Person","University",3657.866006179
"Monroe","Monroe","Walk-Transit","Work",1618.65705555
"Macomb","Detroit","Auto 3+ Person","Eating Out",389.481690462
"Detroit","Macomb","Auto 3+ Person","Eating Out",501.894085723
"Macomb","Detroit","Auto 3+ Person","Visiting",906.289400677
"Detroit","Macomb","Auto 3+ Person","Visiting",1185.242217022
"Washtenaw","Washtenaw","Walk","Maintenance",7004.34507641488
"Detroit","Wayne","Auto 3+ Person","Eating Out",603.443099555
"Detroit","Oakland","Auto 2 Person","Escort",5801.14358469
"Wayne","Detroit","Auto 3+ Person","Discretionary",7391.628760647
"Detroit","Wayne","Auto 3+ Person","Discretionary",9106.040963183
"Monroe","Wayne","Auto SOV","Shop",626.145764565
"Wayne","Monroe","Auto SOV","Shop",675.585792616
"Oakland","Oakland","Bike/Moped","Maintenance",7389.32971689
"Macomb","Macomb","Auto 3+ Person","Work-based",5770.98613252
"Macomb","Macomb","Auto 2 Person","Work-based",10567.810780465
"Oakland","Oakland","Bike/Moped","Visiting",704.076896575
"Oakland","Wayne","Auto 2 Person","Escort",4890.7563187682
"Wayne","Oakland","Auto 2 Person","School",5555.430424456
"Oakland","Wayne","Auto 2 Person","School",4672.834154972
"Oakland","Detroit","Auto 3+ Person","Work",3276.107844633
"Detroit","Oakland","Auto 3+ Person","Work",3176.048714146
"Wayne","Livingston","School Bus","School",265.9169822
"Livingston","Wayne","Auto 2 Person","School",265.9169822
"Detroit","Detroit","Walk-Transit","Work",15759.5457301217
"Livingston","Detroit","Auto SOV","Work-based",83.5140898
"Detroit","Livingston","Auto SOV","Work-based",83.5140898
"Oakland","Detroit","Auto 2 Person","Escort",1381.212510051
"Detroit","Oakland","Auto SOV","University",4302.303481019
"Oakland","Detroit","Auto SOV","University",4931.852834425
"Oakland","Oakland","Walk","Eating Out",13157.780929535
"Wayne","Oakland","School Bus","Visiting",793.1107939
"Oakland","Wayne","School Bus","Visiting",793.1107939
"Wayne","Oakland","School Bus","School",2262.993055692
"Oakland","Wayne","School Bus","School",1684.452386084
"Oakland","Oakland","Auto 3+ Person","University",8308.501216842
"Monroe","Monroe","Auto 3+ Person","Work-based",58.337005335
"Wayne","Wayne","Walk-Transit","Maintenance",5451.363953005
"Wayne","Detroit","Auto SOV","University",6276.757676611
"Wayne","Monroe","Auto 2 Person","Escort",242.697145322
"Wayne","Oakland","Auto SOV","Eating Out",2041.9186011821
"Oakland","Wayne","Auto SOV","Eating Out",2357.104834047
"Washtenaw","Washtenaw","Auto 3+ Person","Work-based",2807.712442223
"Oakland","Wayne","Auto 2 Person","Work-based",1231.0708302712
"Detroit","Oakland","Auto 2 Person","Discretionary",3081.68797301316
"Wayne","Detroit","Auto 2 Person","Shop",9544.852202882
"Detroit","Wayne","Auto 2 Person","Shop",11296.337236017
"Washtenaw","Washtenaw","Walk","University",26298.476841782
"Detroit","Washtenaw","Auto 3+ Person","Work",383.74805081112
"Wayne","Detroit","Auto 3+ Person","Visiting",416.627191967
"Wayne","Detroit","Auto 3+ Person","Shop",8756.032224191
"Detroit","Wayne","Auto 3+ Person","Shop",1363.92777417
"Detroit","Oakland","Auto 3+ Person","Maintenance",1950.073662462
"Oakland","Detroit","Auto 3+ Person","Maintenance",1546.157289879
"St. Clair","Macomb","Auto 2 Person","Visiting",652.607765622
"Macomb","St. Clair","Auto 2 Person","Visiting",844.71072491
"Macomb","Macomb","Walk-Transit","Maintenance",2657.009301949
"Wayne","Washtenaw","Auto 2 Person","Work",7611.4070795
"Oakland","Detroit","Auto SOV","Escort",3601.231081112
"Detroit","Detroit","Auto 2 Person","Visiting",16550.03220053
"Wayne","Detroit","Auto 2 Person","Work",17541.456788498
"Detroit","Macomb","Auto 3+ Person","Maintenance",698.697524891
"Macomb","Detroit","Walk","Maintenance",56.8185866
"Wayne","Oakland","Auto SOV","Visiting",2443.719472908
"Detroit","Oakland","Auto 2 Person","Shop",5531.360315369
"Detroit","Detroit","Walk","Eating Out",12499.060467866
"St. Clair","St. Clair","Walk-Transit","Work",180.012178555
"St. Clair","St. Clair","Walk-Transit","Work-based",31.054015755
"Macomb","Wayne","Auto 2 Person","Work",7671.779403104
"Macomb","Detroit","Auto 2 Person","University",801.4877597
"Detroit","Macomb","Auto 2 Person","School",4442.747721992
"Macomb","Detroit","Auto 2 Person","School",5114.369989992
"Livingston","Oakland","Auto 3+ Person","Work-based",157.936257071
"Oakland","Livingston","Auto 3+ Person","Work-based",157.936257071
"Wayne","Wayne","Auto 3+ Person","Work-based",11005.933695919
"Macomb","Macomb","Walk","Eating Out",13080.962619021
"Detroit","Oakland","Auto 3+ Person","Shop",4569.238240596
"Oakland","Detroit","Auto 3+ Person","Shop",1987.637974224
"Detroit","Oakland","Auto 3+ Person","Discretionary",3087.825847626
"St. Clair","Oakland","Auto SOV","Maintenance",667.97786091
"Oakland","St. Clair","Auto SOV","Maintenance",669.78261815
"Livingston","Livingston","Walk","Maintenance",775.28977547
"Wayne","Monroe","Auto 3+ Person","Discretionary",772.462701884
"Monroe","Wayne","Auto 3+ Person","Discretionary",636.654108719
"Detroit","Oakland","Auto SOV","Eating Out",1153.540384511
"Oakland","Detroit","Auto SOV","Eating Out",1153.540384511
"Oakland","Oakland","Auto 3+ Person","Visiting",22039.928696294
"Oakland","Livingston","Auto 2 Person","Discretionary",2148.650400223
"Wayne","Oakland","Auto 2 Person","Eating Out",2646.5050306112
"Oakland","Wayne","Auto 2 Person","Eating Out",2268.4768405463
"Livingston","Livingston","Auto SOV","Work-based",4160.636553354
"Macomb","St. Clair","Auto SOV","Discretionary",1528.254531631
"St. Clair","Macomb","Auto SOV","Discretionary",1737.725287809
"Detroit","Oakland","Auto 2 Person","School",4940.3112914
"Oakland","Detroit","Auto 2 Person","School",5310.7959837
"Oakland","Wayne","Auto 3+ Person","Discretionary",7992.410504691
"Wayne","Washtenaw","Auto 3+ Person","Discretionary",3461.811940398
"Washtenaw","Wayne","Auto 3+ Person","Discretionary",2577.859369017
"Wayne","Washtenaw","Auto 3+ Person","Work",918.095634872
"Washtenaw","Oakland","Auto 3+ Person","Work",706.41740189152
"Washtenaw","Oakland","Auto 3+ Person","Discretionary",2239.869774145
"Livingston","Macomb","Auto 2 Person","Maintenance",672.114461625
"Macomb","Livingston","Auto 2 Person","Maintenance",42.677580225
"Detroit","Wayne","Walk-Transit","Discretionary",1474.153204833
"Wayne","Detroit","Walk-Transit","Discretionary",1286.569356878
"Detroit","Oakland","Auto SOV","School",421.026832892
"Oakland","Detroit","Auto SOV","School",421.026832892
"Detroit","Oakland","School Bus","School",231.4639896
"Oakland","Detroit","School Bus","School",231.4639896
"Detroit","Wayne","Walk","Shop",1365.7625817
"Wayne","Detroit","Walk","Shop",1153.939508
"Detroit","Detroit","Walk-Transit","School",8811.6212444
"Macomb","Macomb","Walk-Transit","University",482.4469744
"Monroe","Washtenaw","Auto 2 Person","Discretionary",441.911076404
"Washtenaw","Monroe","Auto 2 Person","Discretionary",540.739057954
"Detroit","Macomb","Auto 3+ Person","Escort",5452.864490777
"Macomb","Detroit","Auto 3+ Person","Escort",5126.31741707868
"Detroit","Macomb","Auto 3+ Person","School",7448.063071716
"Macomb","Detroit","Auto 3+ Person","School",6296.303215416
"Wayne","Oakland","Auto 3+ Person","Shop",825.935622778
"Oakland","Wayne","Auto 3+ Person","Shop",4450.20841335
"Detroit","Detroit","Walk-Transit","Visiting",3706.088859794
"Wayne","Wayne","KNR-Transit","Work",2029.0966395
"Detroit","Detroit","Bike/Moped","Work",13795.43589134
"Detroit","Wayne","Auto 2 Person","School",9301.0710435
"Wayne","Macomb","Auto 2 Person","Maintenance",3849.19565834834
"Washtenaw","Washtenaw","Walk","Eating Out",4738.03165454492
"Washtenaw","Wayne","Auto 2 Person","Maintenance",4896.963319386
"Wayne","Washtenaw","Auto 2 Person","Maintenance",5886.682542068
"Detroit","Detroit","Walk","Escort",19588.499439256
"Detroit","Oakland","Walk","Shop",760.4592818
"Oakland","Detroit","Walk","Shop",760.4592818
"Detroit","Oakland","Auto SOV","Escort",1092.596709851
"Washtenaw","Wayne","Auto SOV","Escort",259.617888629
"Wayne","Washtenaw","Auto SOV","Escort",164.018474523
"Washtenaw","Wayne","Auto SOV","Visiting",808.222316593
"Wayne","Washtenaw","Auto SOV","Visiting",1159.57716112
"Wayne","Monroe","Auto 2 Person","Maintenance",406.102840935
"Washtenaw","Monroe","Auto 2 Person","School",760.024643988
"Monroe","Washtenaw","Auto 2 Person","School",966.518356488
"Livingston","Wayne","Auto 2 Person","Discretionary",1564.201607794
"Detroit","Oakland","Auto 3+ Person","University",3237.256816109
"Wayne","Detroit","Auto 2 Person","University",1782.118643538
"Detroit","Wayne","Auto 2 Person","University",2129.013191938
"Detroit","Washtenaw","Auto 2 Person","Work",1361.001429301
"Oakland","Wayne","Walk","Eating Out",323.0604063
"Wayne","Oakland","Walk","Eating Out",323.0604063
"Washtenaw","Wayne","Auto SOV","Shop",3349.509815117
"Wayne","Washtenaw","Auto SOV","Shop",3092.225643817
"Oakland","Washtenaw","Auto SOV","Work-based",139.85465991
"Oakland","Washtenaw","Auto SOV","Maintenance",1764.676618164
"Washtenaw","Washtenaw","Auto 2 Person","University",11674.647897622
"Washtenaw","Washtenaw","Auto 3+ Person","University",5725.33864404
"Washtenaw","Wayne","Auto 2 Person","Escort",1398.595362804
"Wayne","Washtenaw","Auto 3+ Person","Escort",2574.942143964
"Washtenaw","Wayne","Auto 3+ Person","School",2298.7497796
"Wayne","Washtenaw","Auto 3+ Person","School",2474.778267916
"Macomb","Macomb","Walk","Work-based",1900.304936668
"Oakland","Washtenaw","Auto 2 Person","Maintenance",1417.544972216
"Livingston","Wayne","Auto 2 Person","Maintenance",2520.750305796
"Washtenaw","Detroit","Auto 3+ Person","Work",190.179785676
"Washtenaw","Washtenaw","Walk","Escort",5595.590005352
"Oakland","Detroit","KNR-Transit","Visiting",2130.6192925
"Wayne","Detroit","Bike/Moped","Work",275.07494019
"Detroit","Wayne","Bike/Moped","Work",172.51319379
"Detroit","Wayne","Auto 2 Person","Work-based",3486.845648842
"Wayne","Detroit","Auto 2 Person","Work-based",3223.054544692
"Wayne","Oakland","Auto 2 Person","Work-based",910.003280888
"Wayne","Wayne","Walk","Work-based",6873.702520876
"Macomb","Wayne","Bike/Moped","Discretionary",1046.8907285
"Wayne","Macomb","Bike/Moped","Discretionary",1046.8907285
"Washtenaw","Washtenaw","School Bus","Work",1200.3633406
"Monroe","Washtenaw","Auto 3+ Person","Work",431.515432494
"Washtenaw","Monroe","Auto 3+ Person","Work",566.578302286
"Oakland","Macomb","Auto 2 Person","School",2539.620822884
"Macomb","Oakland","Auto 2 Person","School",2700.181880332
"Macomb","Macomb","Bike/Moped","Work",3200.83513848
"Wayne","Oakland","Auto 3+ Person","Discretionary",3091.914625319
"Oakland","Detroit","Auto 3+ Person","Discretionary",2845.930641359
"Oakland","Wayne","Auto SOV","Escort",2241.256374094
"Oakland","Wayne","Auto SOV","School",2410.282174832
"Wayne","Oakland","Auto SOV","School",2410.282174832
"Washtenaw","Monroe","Auto 2 Person","Work",669.264268585
"Wayne","Detroit","Auto 2 Person","School",10174.838701464
"Washtenaw","Wayne","School Bus","School",379.16768654
"Wayne","Washtenaw","Auto 2 Person","School",1773.795321372
"Washtenaw","Wayne","Auto 2 Person","Work",7266.665721914
"Oakland","Detroit","Auto 2 Person","Eating Out",4501.63344464
"Detroit","Oakland","Auto 3+ Person","Eating Out",1512.1137298
"Oakland","Detroit","Auto 3+ Person","School",7259.467562016
"Detroit","Oakland","Auto 3+ Person","School",6188.068962216
"Macomb","Detroit","Auto 3+ Person","Discretionary",7027.274465939
"Detroit","Macomb","Auto 3+ Person","Discretionary",7567.448028255
"Wayne","Monroe","Auto SOV","Discretionary",675.714822524
"Monroe","Wayne","Auto SOV","Discretionary",691.156280294
"Detroit","Macomb","Auto SOV","Visiting",1414.076307574
"Oakland","Oakland","Bike/Moped","School",2561.347508144
"Macomb","Detroit","Auto 2 Person","Eating Out",1748.799688075
"Detroit","Macomb","Auto 2 Person","Eating Out",1636.387292814
"Macomb","Oakland","School Bus","School",1369.523541
"Oakland","Macomb","School Bus","School",2568.2531046
"Macomb","St. Clair","Auto 2 Person","Eating Out",2297.227141049
"St. Clair","Macomb","Auto 2 Person","Eating Out",2860.605444019
"Macomb","Oakland","Auto SOV","University",4533.768655753
"Oakland","Macomb","Auto SOV","University",5187.061682254
"St. Clair","St. Clair","Bike/Moped","Shop",1773.584063498
"St. Clair","St. Clair","Bike/Moped","Discretionary",2214.902119453
"Oakland","Washtenaw","Auto SOV","School",384.015139776
"Washtenaw","Oakland","Auto SOV","School",384.015139776
"Wayne","Monroe","Auto 2 Person","Visiting",1169.312542673
"Monroe","Wayne","Auto 2 Person","Visiting",985.855450077
"Washtenaw","Washtenaw","Walk-Transit","Work-based",935.8427796384
"Wayne","Monroe","Auto 2 Person","Shop",903.88469203
"Monroe","Wayne","Auto 2 Person","Shop",955.898032956
"Macomb","Macomb","Walk-Transit","School",2847.3836429
"Macomb","Detroit","Walk-Transit","School",2937.4218175
"Wayne","Oakland","Auto 3+ Person","School",5828.974325592
"Wayne","Detroit","Auto 3+ Person","Maintenance",5653.540481083
"Detroit","Wayne","Auto 3+ Person","Maintenance",5499.18079681
"Oakland","Wayne","Auto 3+ Person","Escort",1083.47509611
"Livingston","Oakland","Auto SOV","Escort",2279.735366925
"Washtenaw","Washtenaw","Auto SOV","School",2583.540035252
"Oakland","Oakland","Walk-Transit","Eating Out",249.359863225
"Oakland","Macomb","Auto SOV","Work-based",2842.881900729
"Wayne","Wayne","Bike/Moped","Escort",4856.366495792
"Washtenaw","Washtenaw","Walk-Transit","School",1643.689271104
"Wayne","Macomb","Auto 3+ Person","School",2258.143048232
"Livingston","Livingston","Walk","Work-based",210.586325402
"Livingston","Livingston","Auto 3+ Person","University",1468.521277872
"St. Clair","Macomb","Auto SOV","Visiting",431.805439805
"Macomb","Wayne","Auto SOV","Visiting",1715.417686754
"Macomb","Wayne","Auto 2 Person","Work-based",1169.714444824
"Wayne","Macomb","Auto 2 Person","Work-based",1247.968121124
"Detroit","Oakland","Auto 2 Person","University",2892.208219
"Wayne","Livingston","Auto SOV","Escort",168.012736517
