"","PERTYPE","freq"
"1",1,2019173.03841432
"2",2,402790.708942117
"3",3,354402.232035747
"4",4,762985.419105345
"5",5,514391.762996862
"6",6,190104.476729056
"7",7,593470.7879904
"8",8,261475.1715204
"9",NA,4971.1849251
