"","1","2","3","4","5","6","7","8","9","20"
"1",831360.558816446,113395.787488488,475575.061184648,381303.787013982,288531.603353763,316014.301294313,151649.023100033,148837.436436346,436954.254072618,192303.855820811
"2",236249.866108613,23513.821702652,93584.18566646,46263.058382647,72138.510677522,104037.135924728,20047.433593002,16750.125010913,74585.561927239,18705.478356732
"3",62200.562232108,8904.116897735,39235.146763372,14630.433932263,23880.250320369,40032.268195632,6044.23487618,5077.946643617,25686.278247976,8397.315996024
"4",47845.281782419,2891.219489003,28380.770955468,15058.946174803,9389.387785852,30143.882715432,3859.120814516,1483.514700685,20445.336620881,402.4130352
"5",117627.960786898,16731.629627155,45813.343871576,36648.897671092,71281.955783858,61533.395626137,13795.221068449,35620.352495156,55453.984586478,10208.869573378
"6",70051.94920399,7456.420096964,24056.955886188,9828.961420352,29076.195301736,22252.457869739,8766.766982504,5990.561572367,28435.460094676,1685.638342636
"7",30938.112075017,1784.904905486,5515.4929125,4708.237041733,7057.766473528,12950.889155831,1095.871230246,1188.037732721,8932.082115055,295.211440156
"8",15173.010127637,1750.497523772,4598.266243988,2927.511816168,8279.01100018,9899.974957996,1192.878938292,388.01750421,5095.319903819,34.241331915
"9",24888.949097999,5901.851379144,9330.465466148,19580.957626827,30230.160135307,16625.415248027,3114.595305395,14562.587454716,16919.398274495,1380.900604769
"10",11053.777739837,759.960752236,1788.995953952,1902.545365257,13327.487003204,7065.072171578,2040.819029938,1527.557154806,6671.977013331,678.366446644
"11",6057.788335179,2211.454283366,1744.8573645,835.225193225,4911.393119267,3140.273725687,961.563842064,1434.288310087,4564.304476851,625.93593428
"12",7156.305394267,1417.0372898,791.3653056,980.554271815,3030.389934506,2452.376449801,72.611748615,336.034008456,6421.065338267,0
"13",10289.943919476,5839.195783964,7751.549301948,9973.472184475,19242.961583825,13207.28348232,1502.488831037,12787.470606903,17404.324331087,1658.499608684
"14",3434.122764327,958.071347166,362.4166446,4925.530310899,5695.495903834,6160.715845923,1522.220879094,245.827162288,4397.924180865,0
"15",3813.825792349,158.086706872,514.4763851,405.409294164,4778.300588966,2202.596422109,881.638563256,443.996218418,4322.781663636,0
"16",874.719530723,598.623486339,676.1784544,956.412480431,5833.718469909,2070.11876667,410.113136669,1080.64000163,1699.323627622,0
