"District","Work","Univ","Schl"
"Detroit",9.84648157599972,8.19519404557638,4.94903669214773
"Livingston",20.7212919595967,21.8165884405254,6.12428048612188
"Macomb",12.9921395776455,12.4850382375157,3.28952674991704
"Monroe",17.3321465244043,15.9344631227141,4.43371716023512
"Oakland",13.4036617053529,17.7951310300052,3.74998129831535
"St. Clair",17.5756342771623,16.1691525837425,5.3681425375159
"Washtenaw",10.4021917469514,5.42333232301325,4.64885612722675
"Wayne",12.9615324321645,11.5924847143285,3.04745627859663
"Total",13.1627622744845,11.8139337332276,3.90125576226103
