LINKSERIAL,USECOUNT,LOCAL_ID,AADT_YEAR,AADT,AADT_CAR,AADT_TRUCK,AADT_SUT,AADT_MUT,FCLASS,FCLASS_LABEL,AREATYPE,AREATYPE_LABEL,FCLASS_GROUP,COUNTY,CountyName,VOLUME_GROUP_MUT,VOLUME_GROUP_SUT,VOLUME_GROUP_TRUCK,TOD,NumCountsParent,NumCounts,SUT,MUT,PctSUT,PctMUT
131,1,63-6039,2019,29806,29235,571,344,122,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,200-499,MD,1,1,159.5,60.5,0.000755322776178209,0.000203082149246918
131,1,63-6039,2019,29806,29235,571,344,122,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,200-499,PM,1,1,75.5,15,0.000357535232611002,5.03509460942771e-05
131,1,63-6039,2019,29806,29235,571,344,122,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,200-499,EV,1,1,19,4.5,8.99757539021064e-05,1.51052838282831e-05
131,1,63-6039,2019,29806,29235,571,344,122,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,200-499,NT,1,1,13,11.5,6.15623579330202e-05,3.86023920056125e-05
140,0,63-5037,2019,23263,22928,335,238,39,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,0-99,200-499,200-499,AM,1,1,51,8.5,0.000241513865737233,2.8532202786757e-05
140,0,63-5037,2019,23263,22928,335,238,39,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,0-99,200-499,200-499,MD,1,1,107.5,15,0.000509073344446128,5.03509460942771e-05
140,0,63-5037,2019,23263,22928,335,238,39,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,0-99,200-499,200-499,PM,1,1,52.5,8.5,0.000248617214729505,2.8532202786757e-05
140,0,63-5037,2019,23263,22928,335,238,39,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,0-99,200-499,200-499,EV,1,1,12,2.5,5.68267919381725e-05,8.39182434904618e-06
140,0,63-5037,2019,23263,22928,335,238,39,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,0-99,200-499,200-499,NT,1,1,15,4.5,7.10334899227156e-05,1.51052838282831e-05
152,1,63-5040,2019,28358,27840,518,408,102,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,500-999,AM,1,1,73.5,23,0.000348064100621306,7.72047840112249e-05
152,1,63-5040,2019,28358,27840,518,408,102,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,500-999,MD,1,1,214,53,0.00101341112289741,0.000177906676199779
152,1,63-5040,2019,28358,27840,518,408,102,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,500-999,PM,1,1,86,17.5,0.000407258675556903,5.87427704433233e-05
152,1,63-5040,2019,28358,27840,518,408,102,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,500-999,EV,1,1,15,1.5,7.10334899227156e-05,5.03509460942771e-06
152,1,63-5040,2019,28358,27840,518,408,102,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,500-999,NT,1,1,19.5,7,9.23435368995302e-05,2.34971081773293e-05
156,1,63-5105,2018,29887,29363,523,289,173,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,200-499,AM,1,1,53.6872015281757,37.25,0.000254239285915365,0.000125038182800788
156,1,63-5105,2018,29887,29363,523,289,173,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,200-499,MD,1,1,137.047277936963,69.5,0.000648996429084723,0.000233292716903484
156,1,63-5105,2018,29887,29363,523,289,173,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,200-499,PM,1,1,51.3409742120344,29.5,0.000243128571620863,9.9023527318745e-05
156,1,63-5105,2018,29887,29363,523,289,173,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,200-499,EV,1,1,17.5276981852913,13.5,8.30035714942193e-05,4.53158514848494e-05
156,1,63-5105,2018,29887,29363,523,289,173,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,200-499,NT,1,1,29.3968481375358,23.25,0.000139210714395817,7.80439664461295e-05
