start_minutes,end_minutes,Light,Medium,Heavy
0,30,0,0,0.0100412781645942
30,60,0,0,0.0100412781645942
60,90,0,0,0.00895807647685188
90,120,0,0,0.00895807647685188
120,150,0,0,0.00875447689785147
150,180,0,0,0.00875447689785147
180,210,0,0,0.00973040780861507
210,240,0,0,0.00973040780861507
240,270,0,0,0.0123237131318054
270,300,0,0,0.0123237131318054
300,330,0,0,0.0166332225648749
330,360,0,0,0.0166332225648749
360,390,0,0,0.0218339125002901
390,420,0,0,0.0218339125002901
420,450,0,0,0.0243092249968309
450,480,0,0,0.0243092249968309
480,510,0,0,0.0278372354793769
510,540,0,0,0.0278372354793769
540,570,0,0,0.0322404710828782
570,600,0,0,0.0322404710828782
600,630,0,0,0.0331028675092899
630,660,0,0,0.0331028675092899
660,690,0,0,0.0329194373531242
690,720,0,0,0.0329194373531242
720,750,0,0,0.0323343660756604
750,780,0,0,0.0323343660756604
780,810,0,0,0.0314855429770462
810,840,0,0,0.0314855429770462
840,870,0,0,0.0309981135667604
870,900,0,0,0.0309981135667604
900,930,0,0,0.0277353102242228
930,960,0,0,0.0277353102242228
960,990,0,0,0.0250520383173432
990,1020,0,0,0.0250520383173432
1020,1050,0,0,0.022080712319276
1050,1080,0,0,0.022080712319276
1080,1110,0,0,0.0205123418007313
1110,1140,0,0,0.0205123418007313
1140,1170,0,0,0.0178275828744836
1170,1200,0,0,0.0178275828744836
1200,1230,0,0,0.0153509687435501
1230,1260,0,0,0.0153509687435501
1260,1290,0,0,0.0135669464776768
1290,1320,0,0,0.0135669464776768
1320,1350,0,0,0.0128560020597832
1350,1380,0,0,0.0128560020597832
1380,1410,0,0,0.0115157505970828
1410,1440,0,0,0.0115157505970828
