GEO_ID,TractID,CensusTract,County,State,Census_HH,Census_A0,Census_A1,Census_A2,Census_A3,Census_A4
1400000US26011990000,26011990000,Census Tract 9900, Arenac County, Michigan,0,0,0,0,0,0
1400000US26011990100,26011990100,Census Tract 9901, Arenac County, Michigan,0,0,0,0,0,0
1400000US26013000100,26013000100,Census Tract 1, Baraga County, Michigan,1820,106,624,796,234,60
1400000US26013000200,26013000200,Census Tract 2, Baraga County, Michigan,1189,74,398,480,166,71
1400000US26013990100,26013990100,Census Tract 9901, Baraga County, Michigan,0,0,0,0,0,0
1400000US26015010100,26015010100,Census Tract 101, Barry County, Michigan,2295,129,619,984,402,161
1400000US26015010200,26015010200,Census Tract 102, Barry County, Michigan,2042,51,416,901,444,230
1400000US26015010300,26015010300,Census Tract 103, Barry County, Michigan,2908,73,686,1383,406,360
1400000US26015010401,26015010401,Census Tract 104.01, Barry County, Michigan,1413,69,366,514,344,120
1400000US26015010402,26015010402,Census Tract 104.02, Barry County, Michigan,1758,35,395,827,372,129
1400000US26015010500,26015010500,Census Tract 105, Barry County, Michigan,1271,7,246,668,235,115
1400000US26015010600,26015010600,Census Tract 106, Barry County, Michigan,3018,158,837,1225,573,225
1400000US26015010700,26015010700,Census Tract 107, Barry County, Michigan,2045,102,479,862,336,266
1400000US26015010800,26015010800,Census Tract 108, Barry County, Michigan,1310,56,325,394,306,229
1400000US26015011300,26015011300,Census Tract 113, Barry County, Michigan,3043,174,1111,1221,409,128
1400000US26015011400,26015011400,Census Tract 114, Barry County, Michigan,2436,146,738,1021,361,170
1400000US26017280300,26017280300,Census Tract 2803, Bay County, Michigan,593,170,243,148,19,13
1400000US26017280400,26017280400,Census Tract 2804, Bay County, Michigan,1249,193,512,452,70,22
1400000US26017280500,26017280500,Census Tract 2805, Bay County, Michigan,1466,78,510,610,231,37
1400000US26017280600,26017280600,Census Tract 2806, Bay County, Michigan,1114,126,429,418,110,31
1400000US26017280700,26017280700,Census Tract 2807, Bay County, Michigan,1400,383,430,500,72,15
1400000US26017280800,26017280800,Census Tract 2808, Bay County, Michigan,1472,76,622,583,139,52
1400000US26017280900,26017280900,Census Tract 2809, Bay County, Michigan,1174,160,476,384,136,18
1400000US26017281000,26017281000,Census Tract 2810, Bay County, Michigan,1662,169,621,696,125,51
1400000US26017281300,26017281300,Census Tract 2813, Bay County, Michigan,1328,39,642,506,101,40
1400000US26017285100,26017285100,Census Tract 2851, Bay County, Michigan,1401,77,468,659,149,48
1400000US26017285201,26017285201,Census Tract 2852.01, Bay County, Michigan,2730,486,1032,825,279,108
1400000US26017285202,26017285202,Census Tract 2852.02, Bay County, Michigan,1420,56,425,630,206,103
1400000US26017285300,26017285300,Census Tract 2853, Bay County, Michigan,1927,46,623,709,419,130
1400000US26017285400,26017285400,Census Tract 2854, Bay County, Michigan,1463,77,426,632,210,118
1400000US26017285500,26017285500,Census Tract 2855, Bay County, Michigan,2855,197,864,1198,437,159
1400000US26017285600,26017285600,Census Tract 2856, Bay County, Michigan,2842,182,855,1114,489,202
1400000US26017285700,26017285700,Census Tract 2857, Bay County, Michigan,1584,26,557,630,247,124
1400000US26017285800,26017285800,Census Tract 2858, Bay County, Michigan,2516,241,871,829,416,159
1400000US26017285900,26017285900,Census Tract 2859, Bay County, Michigan,2062,200,895,768,109,90
1400000US26017286000,26017286000,Census Tract 2860, Bay County, Michigan,1207,54,325,482,179,167
1400000US26017286100,26017286100,Census Tract 2861, Bay County, Michigan,3056,42,705,1401,608,300
1400000US26017286200,26017286200,Census Tract 2862, Bay County, Michigan,2200,83,580,973,478,86
1400000US26017286300,26017286300,Census Tract 2863, Bay County, Michigan,1541,72,547,608,164,150
1400000US26017286400,26017286400,Census Tract 2864, Bay County, Michigan,999,26,224,406,226,117
1400000US26017286500,26017286500,Census Tract 2865, Bay County, Michigan,765,157,365,169,43,31
1400000US26017286600,26017286600,Census Tract 2866, Bay County, Michigan,2044,202,867,721,149,105
1400000US26017990000,26017990000,Census Tract 9900, Bay County, Michigan,0,0,0,0,0,0
1400000US26019000100,26019000100,Census Tract 1, Benzie County, Michigan,2792,100,924,1089,455,224
